Acceleration,75
Aggression,45
Agility,71
Att. Position,56
Balance,71
Ball Control,67
Composure,58
Crossing,59
Curve,47
Dribbling,68
FK Acc.,51
Finishing,58
GK Diving,14
GK Handling,10
GK Kicking,6
GK Positioning,13
GK Reflexes,9
Heading,39
Interceptions,21
Jumping,42
Long Pass,41
Long Shots,64
Marking,29
Penalties,40
Reactions,45
Short Pass,58
Shot Power,57
Slide Tackle,31
Sprint Speed,69
Stamina,64
Stand Tackle,28
Strength,59
Vision,55
Volleys,45
age,['20']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,77
rating,62
skill_moves,3
weak_foot,5
