Acceleration,66
Aggression,74
Agility,66
Att. Position,73
Balance,83
Ball Control,80
Composure,84
Crossing,84
Curve,81
Dribbling,75
Early Crosser,1
FK Acc.,81
Finishing,63
GK Diving,8
GK Handling,15
GK Kicking,10
GK Positioning,13
GK Reflexes,12
Heading,74
Interceptions,77
Jumping,67
Long Pass,74
Long Shots,71
Marking,75
Penalties,90
Reactions,79
Short Pass,78
Shot Power,84
Slide Tackle,76
Sprint Speed,54
Stamina,55
Stand Tackle,77
Strength,55
Takes Finesse Free Kicks,1
Team Player,1
Vision,73
Volleys,63
age,['34']
attacking_work_rate,High
defensive_work_rate,Medium
potential,76
rating,76
skill_moves,3
weak_foot,3
