Acceleration,84
Aggression,81
Agility,74
Att. Position,74
Avoids Using Weaker Foot,1
Balance,74
Ball Control,80
Composure,76
Crossing,81
Curve,74
Dribbling,82
FK Acc.,58
Finishing,44
GK Diving,10
GK Handling,12
GK Kicking,13
GK Positioning,7
GK Reflexes,7
Heading,75
Injury Prone,1
Interceptions,81
Jumping,78
Long Pass,68
Long Shots,54
Marking,81
Penalties,53
Reactions,79
Short Pass,78
Shot Power,68
Slide Tackle,78
Speed Dribbler (CPU AI Only),1
Sprint Speed,85
Stamina,81
Stand Tackle,81
Strength,76
Vision,74
Volleys,54
age,['24']
attacking_work_rate,High
defensive_work_rate,Medium
potential,85
rating,81
skill_moves,3
weak_foot,2
