Acceleration,84
Aggression,48
Agility,85
Att. Position,73
Balance,89
Ball Control,85
Composure,77
Crossing,74
Curve,76
Dribbler,1
Dribbling,86
FK Acc.,76
Finishing,70
Flair,1
GK Diving,14
GK Handling,9
GK Kicking,6
GK Positioning,7
GK Reflexes,15
Heading,56
Injury Prone,1
Interceptions,27
Jumping,75
Long Pass,77
Long Shot Taker (CPU AI Only),1
Long Shots,75
Marking,27
Penalties,73
Playmaker (CPU AI Only),1
Reactions,72
Short Pass,80
Shot Power,75
Slide Tackle,25
Sprint Speed,76
Stamina,73
Stand Tackle,36
Strength,39
Vision,79
Volleys,61
age,['26']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,82
rating,80
skill_moves,4
weak_foot,3
