Acceleration,47
Aggression,29
Agility,36
Att. Position,8
Balance,50
Ball Control,17
Composure,45
Crossing,13
Curve,16
Dribbling,13
FK Acc.,17
Finishing,10
GK Diving,65
GK Handling,52
GK Kicking,51
GK Positioning,61
GK Reflexes,64
Heading,13
Interceptions,16
Jumping,58
Long Pass,24
Long Shots,12
Marking,8
Penalties,26
Reactions,57
Short Pass,25
Shot Power,30
Slide Tackle,19
Sprint Speed,42
Stamina,20
Stand Tackle,19
Strength,41
Vision,22
Volleys,10
age,['22']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,69
rating,61
skill_moves,1
weak_foot,2
