Acceleration,74
Aggression,75
Agility,69
Att. Position,74
Balance,68
Ball Control,75
Composure,68
Crossing,77
Curve,62
Dribbling,74
FK Acc.,45
Finishing,57
GK Diving,15
GK Handling,8
GK Kicking,12
GK Positioning,11
GK Reflexes,9
Heading,62
Injury Free,1
Interceptions,72
Jumping,82
Long Pass,69
Long Shots,62
Marking,71
Penalties,48
Reactions,73
Short Pass,74
Shot Power,74
Slide Tackle,74
Speed Dribbler (CPU AI Only),1
Sprint Speed,78
Stamina,91
Stand Tackle,76
Strength,73
Vision,66
Volleys,46
age,['27']
attacking_work_rate,High
defensive_work_rate,Medium
potential,78
rating,77
skill_moves,3
weak_foot,4
