Acceleration,58
Aggression,69
Agility,60
Att. Position,63
Balance,67
Ball Control,72
Composure,73
Crossing,69
Curve,65
Dribbling,66
FK Acc.,57
Finishing,59
GK Diving,7
GK Handling,10
GK Kicking,15
GK Positioning,8
GK Reflexes,14
Heading,63
Injury Prone,1
Interceptions,65
Jumping,69
Long Pass,70
Long Shots,58
Marking,69
Penalties,52
Reactions,67
Short Pass,73
Shot Power,69
Slide Tackle,66
Sprint Speed,52
Stamina,65
Stand Tackle,69
Strength,69
Vision,69
Volleys,44
age,['27']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,69
rating,69
skill_moves,3
weak_foot,3
