Acceleration,67
Aggression,57
Agility,73
Att. Position,65
Avoids Using Weaker Foot,1
Balance,71
Ball Control,70
Composure,73
Crossing,54
Curve,59
Dribbling,72
FK Acc.,54
Finishing,51
Flair,1
GK Diving,7
GK Handling,7
GK Kicking,14
GK Positioning,15
GK Reflexes,11
Heading,55
Interceptions,55
Jumping,58
Long Pass,70
Long Shots,63
Marking,54
Penalties,49
Reactions,60
Short Pass,75
Shot Power,69
Slide Tackle,53
Sprint Speed,65
Stamina,63
Stand Tackle,55
Strength,62
Technical Dribbler (CPU AI Only),1
Vision,68
Volleys,50
age,['19']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,85
rating,68
skill_moves,4
weak_foot,2
