Acceleration,79
Aggression,82
Agility,67
Att. Position,76
Balance,58
Ball Control,80
Composure,75
Crossing,75
Curve,75
Dribbling,82
Engine,1
FK Acc.,74
Finishing,65
GK Diving,14
GK Handling,8
GK Kicking,11
GK Positioning,10
GK Reflexes,8
Heading,70
Injury Free,1
Interceptions,79
Jumping,78
Long Pass,76
Long Shots,69
Marking,77
Penalties,60
Reactions,81
Short Pass,80
Shot Power,85
Slide Tackle,78
Speed Dribbler (CPU AI Only),1
Sprint Speed,85
Stamina,91
Stand Tackle,82
Strength,1
Vision,76
Volleys,64
age,['29']
attacking_work_rate,High
defensive_work_rate,High
potential,80
rating,80
skill_moves,3
weak_foot,2
