Acceleration,87
Acrobat,1
Aggression,38
Agility,90
Att. Position,75
Backs Into Player,1
Balance,88
Ball Control,79
Composure,68
Crossing,72
Curve,69
Dribbling,82
FK Acc.,65
Finishing,69
Flair,1
GK Diving,12
GK Handling,14
GK Kicking,16
GK Positioning,6
GK Reflexes,10
Heading,33
Interceptions,30
Jumping,43
Long Pass,61
Long Shot Taker (CPU AI Only),1
Long Shots,75
Marking,23
Penalties,57
Reactions,64
Short Pass,72
Shot Power,80
Slide Tackle,30
Speed Dribbler (CPU AI Only),1
Sprint Speed,83
Stamina,72
Stand Tackle,26
Strength,43
Vision,74
Volleys,55
age,['25']
attacking_work_rate,High
defensive_work_rate,Medium
potential,79
rating,76
skill_moves,4
weak_foot,3
