Acceleration,85
Aggression,40
Agility,73
Att. Position,65
Balance,72
Ball Control,73
Composure,61
Crossing,66
Curve,59
Dribbling,77
FK Acc.,49
Finishing,67
GK Diving,16
GK Handling,15
GK Kicking,10
GK Positioning,12
GK Reflexes,11
Heading,53
Interceptions,46
Jumping,62
Long Pass,57
Long Shots,66
Marking,21
Penalties,48
Reactions,67
Short Pass,63
Shot Power,67
Slide Tackle,24
Speed Dribbler (CPU AI Only),1
Sprint Speed,85
Stamina,74
Stand Tackle,30
Strength,71
Vision,65
Volleys,55
age,['27']
attacking_work_rate,High
defensive_work_rate,Medium
potential,72
rating,72
skill_moves,3
weak_foot,3
