Acceleration,85
Aggression,49
Agility,81
Att. Position,68
Balance,80
Ball Control,74
Composure,67
Crossing,67
Curve,70
Dribbling,75
FK Acc.,71
Finishing,70
Flair,1
GK Diving,15
GK Handling,12
GK Kicking,16
GK Positioning,15
GK Reflexes,15
Heading,52
Interceptions,38
Jumping,68
Long Pass,61
Long Shots,62
Marking,43
Penalties,67
Reactions,66
Short Pass,67
Shot Power,65
Slide Tackle,23
Sprint Speed,76
Stamina,63
Stand Tackle,37
Strength,53
Vision,66
Volleys,70
age,['27']
attacking_work_rate,High
defensive_work_rate,Medium
potential,72
rating,72
skill_moves,3
weak_foot,3
