Acceleration,71
Aggression,78
Agility,76
Att. Position,83
Balance,66
Ball Control,90
Composure,87
Crossing,80
Curve,85
Dribbler,1
Dribbling,87
FK Acc.,82
Finishing,75
Flair,1
GK Diving,5
GK Handling,6
GK Kicking,2
GK Positioning,4
GK Reflexes,3
Heading,75
Interceptions,64
Jumping,83
Long Pass,90
Long Passer (CPU AI Only),1
Long Shot Taker (CPU AI Only),1
Long Shots,82
Marking,63
Penalties,82
Playmaker,1
Playmaker (CPU AI Only),1
Reactions,82
Short Pass,86
Shot Power,90
Slide Tackle,67
Sprint Speed,79
Stamina,88
Stand Tackle,67
Strength,1
Technical Dribbler (CPU AI Only),1
Vision,88
Volleys,85
age,['26']
attacking_work_rate,High
defensive_work_rate,Medium
potential,91
rating,88
skill_moves,5
weak_foot,4
