Acceleration,66
Aggression,65
Agility,63
Att. Position,40
Balance,55
Ball Control,70
Composure,64
Crossing,32
Curve,62
Dribbling,71
FK Acc.,70
Finishing,23
GK Diving,12
GK Handling,13
GK Kicking,15
GK Positioning,13
GK Reflexes,11
Heading,68
Interceptions,65
Jumping,69
Long Pass,70
Long Shots,52
Long Throw-in,1
Marking,69
Penalties,46
Reactions,62
Short Pass,72
Shot Power,63
Slide Tackle,68
Sprint Speed,67
Stamina,65
Stand Tackle,74
Strength,75
Vision,67
Volleys,28
age,['22']
attacking_work_rate,High
defensive_work_rate,Medium
potential,83
rating,70
skill_moves,2
weak_foot,3
