Acceleration,78
Aggression,40
Agility,76
Att. Position,64
Balance,77
Ball Control,59
Composure,58
Crossing,50
Curve,41
Dribbling,60
FK Acc.,50
Finishing,66
GK Diving,7
GK Handling,12
GK Kicking,10
GK Positioning,8
GK Reflexes,5
Heading,55
Interceptions,12
Jumping,68
Long Pass,48
Long Shots,55
Marking,14
Penalties,55
Reactions,60
Short Pass,50
Shot Power,54
Slide Tackle,17
Sprint Speed,76
Stamina,57
Stand Tackle,17
Strength,55
Vision,54
Volleys,51
age,['19']
attacking_work_rate,High
defensive_work_rate,Medium
potential,82
rating,62
skill_moves,3
weak_foot,3
