Acceleration,77
Aggression,58
Agility,74
Att. Position,72
Balance,76
Ball Control,75
Composure,74
Crossing,80
Curve,79
Dribbling,76
Early Crosser,1
FK Acc.,78
Finishing,69
GK Diving,12
GK Handling,8
GK Kicking,13
GK Positioning,7
GK Reflexes,7
Heading,59
Interceptions,66
Jumping,73
Long Pass,74
Long Shots,75
Marking,63
Penalties,72
Reactions,74
Set Play Specialist,1
Short Pass,72
Shot Power,78
Slide Tackle,71
Sprint Speed,74
Stamina,72
Stand Tackle,68
Strength,64
Takes Finesse Free Kicks,1
Technical Dribbler (CPU AI Only),1
Vision,77
Volleys,66
age,['27']
attacking_work_rate,High
defensive_work_rate,Medium
potential,76
rating,76
skill_moves,4
weak_foot,3
