Acceleration,94
Aggression,73
Agility,77
Att. Position,66
Balance,76
Ball Control,69
Composure,63
Crossing,71
Curve,64
Dribbling,74
FK Acc.,42
Finishing,47
GK Diving,16
GK Handling,7
GK Kicking,8
GK Positioning,15
GK Reflexes,9
Heading,52
Interceptions,67
Jumping,62
Long Pass,60
Long Shots,46
Marking,71
Penalties,61
Reactions,70
Selfish,1
Short Pass,70
Shot Power,58
Slide Tackle,71
Speed Dribbler (CPU AI Only),1
Speedster,1
Sprint Speed,92
Stamina,77
Stand Tackle,70
Strength,65
Vision,58
Volleys,51
age,['26']
attacking_work_rate,High
defensive_work_rate,Medium
potential,75
rating,73
skill_moves,3
weak_foot,3
