Acceleration,85
Aggression,60
Agility,79
Att. Position,74
Balance,85
Ball Control,76
Composure,80
Crossing,72
Curve,71
Dribbling,72
FK Acc.,31
Finesse Shot,1
Finishing,73
GK Diving,6
GK Handling,11
GK Kicking,7
GK Positioning,8
GK Reflexes,7
Heading,55
Interceptions,67
Jumping,66
Long Pass,62
Long Shots,57
Marking,66
Penalties,61
Reactions,73
Short Pass,73
Shot Power,67
Slide Tackle,62
Sprint Speed,87
Stamina,76
Stand Tackle,68
Strength,55
Vision,72
Volleys,55
age,['19']
attacking_work_rate,High
defensive_work_rate,Medium
potential,86
rating,75
skill_moves,4
weak_foot,3
