Acceleration,64
Aggression,82
Agility,65
Att. Position,63
Balance,70
Ball Control,81
Composure,83
Crossing,77
Curve,82
Dribbling,74
FK Acc.,83
Finishing,64
GK Diving,16
GK Handling,12
GK Kicking,10
GK Positioning,8
GK Reflexes,10
Heading,51
Interceptions,75
Jumping,68
Long Pass,86
Long Passer (CPU AI Only),1
Long Shot Taker (CPU AI Only),1
Long Shots,83
Marking,69
Penalties,72
Playmaker (CPU AI Only),1
Reactions,78
Short Pass,84
Shot Power,84
Slide Tackle,69
Sprint Speed,64
Stamina,78
Stand Tackle,74
Strength,70
Vision,85
Volleys,77
age,['22']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,87
rating,81
skill_moves,3
weak_foot,4
