Acceleration,69
Aggression,74
Agility,66
Att. Position,78
Balance,46
Ball Control,75
Composure,76
Crossing,50
Curve,55
Dribbling,70
FK Acc.,60
Finishing,76
GK Diving,13
GK Handling,13
GK Kicking,7
GK Positioning,5
GK Reflexes,14
Heading,84
Interceptions,33
Jumping,71
Long Pass,40
Long Shots,69
Marking,36
Penalties,65
Power Header,1
Reactions,74
Short Pass,71
Shot Power,85
Slide Tackle,13
Sprint Speed,68
Stamina,74
Stand Tackle,23
Strength,1
Target Forward,1
Vision,59
Volleys,75
age,['29']
attacking_work_rate,High
defensive_work_rate,Medium
potential,78
rating,78
skill_moves,3
weak_foot,4
