Acceleration,32
Aggression,72
Agility,42
Att. Position,36
Balance,51
Ball Control,60
Composure,70
Crossing,30
Curve,30
Dribbling,38
FK Acc.,29
Finishing,40
GK Diving,6
GK Handling,10
GK Kicking,15
GK Positioning,7
GK Reflexes,9
Heading,81
Interceptions,77
Jumping,66
Long Pass,58
Long Shots,32
Marking,77
Penalties,30
Power Header,1
Reactions,77
Short Pass,59
Shot Power,52
Slide Tackle,75
Sprint Speed,33
Stamina,46
Stand Tackle,76
Strength,77
Vision,48
Volleys,29
age,['32']
attacking_work_rate,Low
defensive_work_rate,Medium
potential,75
rating,75
skill_moves,2
weak_foot,3
