Acceleration,48
Aggression,27
Agility,62
Att. Position,11
Balance,43
Ball Control,12
Cautious With Crosses,1
Composure,60
Crossing,17
Curve,24
Dribbling,14
FK Acc.,20
Finishing,14
GK Diving,77
GK Handling,75
GK Kicking,78
GK Positioning,75
GK Reflexes,80
Heading,11
Interceptions,19
Jumping,63
Long Pass,26
Long Shots,12
Marking,16
Penalties,24
Reactions,74
Short Pass,28
Shot Power,19
Slide Tackle,11
Sprint Speed,46
Stamina,36
Stand Tackle,11
Strength,52
Vision,53
Volleys,15
age,['25']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,80
rating,78
skill_moves,1
weak_foot,3
