Acceleration,68
Aggression,73
Agility,79
Att. Position,79
Backs Into Player,1
Balance,67
Ball Control,78
Composure,68
Crossing,66
Curve,53
Dribbling,76
FK Acc.,50
Finishing,63
GK Diving,10
GK Handling,6
GK Kicking,14
GK Positioning,6
GK Reflexes,6
Heading,74
Interceptions,48
Jumping,86
Long Pass,68
Long Shots,66
Marking,54
Penalties,70
Reactions,80
Short Pass,75
Shot Power,75
Slide Tackle,45
Sprint Speed,61
Stamina,64
Stand Tackle,56
Strength,63
Vision,69
Volleys,76
age,['33']
attacking_work_rate,High
defensive_work_rate,High
potential,74
rating,74
skill_moves,3
weak_foot,4
