Acceleration,60
Aggression,84
Agility,63
Att. Position,50
Balance,67
Ball Control,70
Composure,73
Crossing,53
Curve,55
Dives Into Tackles (CPU AI Only),1
Dribbling,53
FK Acc.,47
Finishing,58
GK Diving,11
GK Handling,9
GK Kicking,15
GK Positioning,10
GK Reflexes,6
Heading,81
Interceptions,78
Jumping,87
Long Pass,69
Long Shots,52
Marking,78
Penalties,54
Reactions,79
Short Pass,75
Shot Power,66
Slide Tackle,82
Sprint Speed,65
Stamina,68
Stand Tackle,82
Strength,78
Vision,55
Volleys,51
age,['27']
attacking_work_rate,Medium
defensive_work_rate,High
potential,83
rating,81
skill_moves,2
weak_foot,3
