Acceleration,49
Aggression,75
Agility,51
Att. Position,57
Balance,58
Ball Control,69
Composure,67
Crossing,71
Curve,51
Dribbling,64
FK Acc.,61
Finishing,25
GK Diving,12
GK Handling,6
GK Kicking,10
GK Positioning,8
GK Reflexes,12
Heading,72
Interceptions,75
Jumping,71
Long Pass,69
Long Shots,62
Marking,74
Penalties,44
Reactions,73
Short Pass,71
Shot Power,70
Slide Tackle,76
Sprint Speed,54
Stamina,55
Stand Tackle,77
Strength,77
Vision,62
Volleys,26
age,['34']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,75
rating,75
skill_moves,2
weak_foot,4
