Acceleration,63
Aggression,59
Agility,53
Att. Position,56
Balance,51
Ball Control,65
Composure,65
Crossing,48
Curve,56
Dribbling,62
FK Acc.,55
Finishing,39
GK Diving,13
GK Handling,7
GK Kicking,9
GK Positioning,14
GK Reflexes,8
Heading,45
Interceptions,61
Jumping,59
Long Pass,70
Long Shots,36
Marking,60
Penalties,52
Reactions,55
Short Pass,71
Shot Power,44
Slide Tackle,55
Sprint Speed,67
Stamina,65
Stand Tackle,64
Strength,60
Vision,60
Volleys,34
age,['19']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,81
rating,64
skill_moves,3
weak_foot,3
