Acceleration,72
Aggression,74
Agility,71
Att. Position,49
Balance,62
Ball Control,70
Composure,73
Crossing,67
Curve,63
Dives Into Tackles (CPU AI Only),1
Dribbling,67
FK Acc.,44
Finishing,27
GK Diving,8
GK Handling,14
GK Kicking,12
GK Positioning,11
GK Reflexes,12
Heading,73
Interceptions,72
Jumping,90
Long Pass,65
Long Shots,52
Long Throw-in,1
Marking,73
Penalties,42
Power Header,1
Reactions,67
Short Pass,71
Shot Power,67
Slide Tackle,78
Speed Dribbler (CPU AI Only),1
Sprint Speed,74
Stamina,67
Stand Tackle,80
Strength,79
Vision,49
Volleys,40
age,['25']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,81
rating,76
skill_moves,2
weak_foot,4
