Acceleration,69
Aggression,54
Agility,79
Att. Position,74
Avoids Using Weaker Foot,1
Balance,79
Ball Control,81
Composure,82
Crossing,72
Curve,78
Dribbling,78
FK Acc.,74
Finishing,71
GK Diving,14
GK Handling,12
GK Kicking,7
GK Positioning,6
GK Reflexes,7
Heading,60
Injury Prone,1
Interceptions,61
Jumping,61
Long Pass,76
Long Shots,75
Marking,62
Penalties,65
Playmaker (CPU AI Only),1
Reactions,78
Short Pass,83
Shot Power,75
Slide Tackle,51
Sprint Speed,60
Stamina,73
Stand Tackle,62
Strength,70
Takes Finesse Free Kicks,1
Vision,78
Volleys,71
age,['28']
attacking_work_rate,High
defensive_work_rate,Medium
potential,78
rating,78
skill_moves,4
weak_foot,2
