Acceleration,68
Aggression,43
Agility,62
Att. Position,65
Balance,58
Ball Control,60
Composure,57
Crossing,55
Curve,63
Dribbling,67
FK Acc.,33
Finishing,62
GK Diving,10
GK Handling,13
GK Kicking,11
GK Positioning,14
GK Reflexes,8
Heading,58
Interceptions,18
Jumping,58
Long Pass,40
Long Shots,60
Marking,20
Penalties,49
Reactions,47
Short Pass,55
Shot Power,59
Slide Tackle,16
Sprint Speed,70
Stamina,65
Stand Tackle,17
Strength,68
Vision,51
Volleys,55
age,['21']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,76
rating,62
skill_moves,3
weak_foot,3
