Acceleration,49
Aggression,87
Agility,55
Att. Position,41
Balance,41
Ball Control,70
Composure,80
Crossing,61
Curve,61
Dives Into Tackles (CPU AI Only),1
Dribbling,63
FK Acc.,52
Finishing,45
GK Diving,10
GK Handling,9
GK Kicking,5
GK Positioning,8
GK Reflexes,6
Heading,83
Injury Prone,1
Interceptions,82
Jumping,72
Leadership,1
Long Pass,66
Long Shots,55
Marking,85
Penalties,63
Reactions,85
Short Pass,73
Shot Power,73
Slide Tackle,84
Sprint Speed,53
Stamina,65
Stand Tackle,85
Strength,1
Team Player,1
Vision,59
Volleys,46
age,['33']
attacking_work_rate,Medium
defensive_work_rate,High
potential,84
rating,84
skill_moves,2
weak_foot,3
