Acceleration,40
Aggression,21
Agility,48
Att. Position,14
Balance,51
Ball Control,23
Composure,55
Crossing,11
Curve,12
Dribbling,8
FK Acc.,11
Finishing,12
GK Diving,76
GK Handling,76
GK Kicking,81
GK Positioning,77
GK Reflexes,71
Heading,14
Interceptions,22
Jumping,41
Long Pass,41
Long Shots,10
Marking,13
Penalties,17
Reactions,67
Short Pass,29
Shot Power,34
Slide Tackle,13
Sprint Speed,41
Stamina,29
Stand Tackle,18
Strength,68
Vision,58
Volleys,10
age,['32']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,75
rating,75
skill_moves,1
weak_foot,3
