Acceleration,68
Aggression,70
Agility,71
Att. Position,73
Balance,75
Ball Control,80
Composure,78
Crossing,75
Curve,62
Dribbling,78
FK Acc.,60
Finishing,68
GK Diving,7
GK Handling,15
GK Kicking,12
GK Positioning,9
GK Reflexes,12
Heading,58
Interceptions,65
Jumping,51
Long Pass,75
Long Shots,62
Marking,69
Penalties,66
Reactions,78
Short Pass,80
Shot Power,60
Slide Tackle,69
Sprint Speed,60
Stamina,75
Stand Tackle,72
Strength,59
Technical Dribbler (CPU AI Only),1
Vision,84
Volleys,50
age,['24']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,83
rating,77
skill_moves,4
weak_foot,3
