Acceleration,79
Aggression,55
Agility,74
Att. Position,67
Balance,69
Ball Control,72
Beat Offside Trap,1
Composure,67
Crossing,57
Curve,64
Dribbling,74
FK Acc.,33
Finishing,63
GK Diving,8
GK Handling,16
GK Kicking,15
GK Positioning,15
GK Reflexes,11
Heading,54
Interceptions,24
Jumping,65
Long Pass,45
Long Shots,53
Marking,25
Penalties,55
Reactions,65
Selfish,1
Short Pass,63
Shot Power,67
Slide Tackle,22
Sprint Speed,77
Stamina,59
Stand Tackle,23
Strength,63
Technical Dribbler (CPU AI Only),1
Vision,65
Volleys,57
age,['22']
attacking_work_rate,High
defensive_work_rate,Medium
potential,76
rating,68
skill_moves,3
weak_foot,3
