Acceleration,76
Aggression,77
Agility,61
Att. Position,57
Balance,67
Ball Control,62
Composure,61
Crossing,56
Curve,43
Dribbling,65
FK Acc.,41
Finishing,42
GK Diving,12
GK Handling,14
GK Kicking,7
GK Positioning,11
GK Reflexes,14
Heading,56
Interceptions,62
Jumping,52
Long Pass,55
Long Shots,53
Marking,64
Penalties,41
Reactions,65
Short Pass,60
Shot Power,58
Slide Tackle,64
Sprint Speed,71
Stamina,75
Stand Tackle,74
Strength,70
Vision,53
Volleys,34
age,['20']
attacking_work_rate,High
defensive_work_rate,High
potential,79
rating,66
skill_moves,3
weak_foot,3
