Acceleration,60
Aggression,70
Agility,69
Att. Position,74
Balance,76
Ball Control,81
Composure,81
Crossing,81
Curve,84
Dribbling,76
FK Acc.,74
Finishing,73
GK Diving,6
GK Handling,8
GK Kicking,10
GK Positioning,14
GK Reflexes,12
Heading,55
Interceptions,69
Jumping,65
Long Pass,77
Long Passer (CPU AI Only),1
Long Shot Taker (CPU AI Only),1
Long Shots,84
Marking,66
Penalties,72
Playmaker (CPU AI Only),1
Reactions,75
Short Pass,80
Shot Power,86
Slide Tackle,68
Sprint Speed,55
Stamina,69
Stand Tackle,72
Strength,66
Vision,82
Volleys,78
age,['22']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,87
rating,78
skill_moves,4
weak_foot,5
