Acceleration,67
Aggression,81
Agility,64
Att. Position,42
Balance,58
Ball Control,59
Composure,59
Crossing,46
Curve,39
Dribbling,57
FK Acc.,37
Finishing,37
GK Diving,6
GK Handling,7
GK Kicking,7
GK Positioning,7
GK Reflexes,7
Heading,68
Interceptions,71
Jumping,68
Long Pass,55
Long Shots,42
Marking,69
Penalties,52
Reactions,67
Short Pass,61
Shot Power,65
Slide Tackle,79
Sprint Speed,67
Stamina,67
Stand Tackle,82
Strength,78
Vision,49
Volleys,48
age,['23']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,81
rating,74
skill_moves,2
weak_foot,4
