Acceleration,50
Aggression,43
Agility,52
Att. Position,15
Balance,44
Ball Control,22
Comes For Crosses,1
Composure,63
Crossing,14
Curve,18
Dribbling,14
FK Acc.,12
Finishing,13
GK Diving,80
GK Handling,83
GK Kicking,70
GK Long Throw,1
GK Positioning,81
GK Reflexes,84
Heading,11
Interceptions,16
Jumping,68
Long Pass,32
Long Shots,20
Marking,14
Penalties,22
Reactions,75
Short Pass,20
Shot Power,14
Slide Tackle,13
Sprint Speed,47
Stamina,25
Stand Tackle,12
Strength,65
Vision,52
Volleys,17
age,['34']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,82
rating,82
skill_moves,1
weak_foot,2
