,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
0,1,Glenn Murray,F,38,2517,13,1,1.93,0.43,11.54-1.46,1.12+0.12,0.41,0.04
1,2,Shane Duffy,D,35,3087,5,1,1.08,0.2,3.38-1.62,0.27-0.73,0.1,0.01
2,3,Pascal Groß,M,25,1896,3,3,1.14,2.56,4.14+1.14,5.61+2.61,0.2,0.27
3,4,Florin Andone,F,23,861,3,0,1.99,0.21,3.49+0.49,0.10+0.10,0.36,0.01
4,5,Anthony Knockaert,F M,30,1823,2,6,1.33,1.73,2.11+0.11,4.21-1.79,0.1,0.21
5,6,Lewis Dunk,D,36,3154,2,1,0.57,0.31,1.76-0.24,0.75-0.25,0.05,0.02
6,7,Jürgen Locadia,F M,26,1229,2,0,2.05,0.95,3.39+1.39,0.96+0.96,0.25,0.07
7,8,Leon Balogun,D,8,589,1,0,0.15,0.0,0.08-0.92,0.00,0.01,0.0
8,9,Solly March,F M,35,2480,1,5,1.56,1.49,2.20+1.20,5.21+0.21,0.08,0.19
9,10,Davy Pröpper,M,30,2554,1,1,0.53,0.67,0.95-0.05,1.22+0.22,0.03,0.04
10,11,Dale Stephens,M,30,2485,1,1,0.4,0.65,0.25-0.75,0.59-0.41,0.01,0.02
11,12,Beram Kayal,M,18,937,1,1,0.48,0.38,0.29-0.71,1.18+0.18,0.03,0.11
12,13,Martín Montoya,D,25,2165,0,1,0.33,0.75,0.19+0.19,1.18+0.18,0.01,0.05
13,14,Mat Ryan,GK,34,3060,0,0,0.0,0.0,0.00,0.00,0.0,0.0
14,15,Bernardo,D,22,1740,0,1,0.41,0.52,0.35+0.35,0.58-0.42,0.02,0.03
15,16,Yves Bissouma,M,28,1757,0,0,1.59,0.67,1.78+1.78,0.99+0.99,0.09,0.05
16,17,Bruno,D,14,1150,0,1,0.16,0.47,0.07+0.07,0.59-0.41,0.01,0.05
17,18,Gaëtan Bong,D,22,1802,0,0,0.1,0.45,0.07+0.07,0.48+0.48,0.0,0.02
18,19,José Izquierdo,F M,15,803,0,1,1.68,0.67,0.62+0.62,0.47-0.53,0.07,0.05
19,20,Alireza Jahanbakhsh,F M,19,1021,0,0,1.85,0.44,0.70+0.70,0.19+0.19,0.06,0.02
20,21,David Button,GK,4,360,0,0,0.0,0.0,0.00,0.00,0.0,0.0
