,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
0,1,Ashley Barnes,F,37,2379,12,2,2.46,0.83,13.26+1.26,3.64+1.64,0.5,0.14
1,2,Chris Wood,F,38,2603,10,2,2.01,0.73,9.13-0.87,3.65+1.65,0.32,0.13
2,3,Sam Vokes,F,20,918,3,0,2.16,0.78,2.73-0.27,0.90+0.90,0.27,0.09
3,4,Johann Berg Gudmundsson,M,29,1732,3,6,1.71,1.92,2.61-0.39,3.59-2.41,0.14,0.19
4,5,James Tarkowski,D,35,3086,3,1,0.64,0.15,3.64+0.64,0.20-0.80,0.11,0.01
5,6,Jeff Hendrick,M,32,2089,3,0,0.82,0.52,1.79-1.21,1.07+1.07,0.08,0.05
6,7,Dwight McNeil,M,21,1610,3,5,1.51,1.45,1.83-1.17,3.46-1.54,0.1,0.19
7,8,Ashley Westwood,M,34,2817,2,7,0.7,1.34,1.71-0.29,5.23-1.77,0.05,0.17
8,9,Aaron Lennon,M,16,1223,1,1,0.29,0.52,0.92-0.08,0.66-0.34,0.07,0.05
9,10,Jack Cork,M,37,3315,1,2,0.46,0.49,1.52+0.52,2.26+0.26,0.04,0.06
10,11,Matej Vydra,M,13,308,1,1,1.75,0.58,1.92+0.92,0.50-0.50,0.56,0.15
11,12,Ben Gibson,D,1,67,1,0,1.34,0.0,0.91-0.09,0.00,1.22,0.0
12,13,Joe Hart,GK,19,1710,0,0,0.0,0.05,0.00,0.02+0.02,0.0,0.0
13,14,Robbie Brady,M,16,701,0,1,1.54,1.8,0.68+0.68,1.03+0.03,0.09,0.13
14,15,Phil Bardsley,D,19,1677,0,0,0.64,0.38,0.25+0.25,1.29+1.29,0.01,0.07
15,16,Peter Crouch,S,6,73,0,0,6.16,0.0,0.61+0.61,0.00,0.75,0.0
16,17,Tom Heaton,GK,19,1710,0,0,0.05,0.11,0.06+0.06,0.04+0.04,0.0,0.0
17,18,Matthew Lowton,D,21,1743,0,0,0.21,0.41,0.83+0.83,0.50+0.50,0.04,0.03
18,19,Ben Mee,D,38,3420,0,2,0.55,0.21,1.15+1.15,1.52-0.48,0.03,0.04
19,20,Stephen Ward,D,3,235,0,0,0.38,0.38,0.08+0.08,0.05+0.05,0.03,0.02
20,21,Steven Defour,M,6,459,0,0,0.0,0.39,0.00,0.05+0.05,0.0,0.01
21,22,Kevin Long,D,6,514,0,1,0.18,0.18,0.03+0.03,0.41-0.59,0.01,0.07
22,23,Charlie Taylor,D,38,3238,0,1,0.17,0.31,0.11+0.11,1.45+0.45,0.0,0.04
