,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
0,1,Víctor Camarasa,M,32,2606,5,4,1.42,1.73,3.91-1.09,3.63-0.37,0.13,0.13
1,2,Bobby Reid,F M,27,1414,5,2,1.72,1.02,3.80-1.20,1.06-0.94,0.24,0.07
2,3,Sol Bamba,D M,28,2476,4,1,0.8,0.15,4.12+0.12,0.14-0.86,0.15,0.01
3,4,Nathaniel Mendez-Laing,M,20,980,4,1,1.84,1.74,2.16-1.84,1.30+0.30,0.2,0.12
4,5,Callum Paterson,F M,27,1987,4,1,1.86,1.04,4.95+0.95,2.87+1.87,0.22,0.13
5,6,Junior Hoilett,F M,32,2144,3,1,1.68,1.05,3.17+0.17,1.34+0.34,0.13,0.06
6,7,Josh Murphy,F M,29,1844,3,2,2.25,0.78,3.74+0.74,3.52+1.52,0.18,0.17
7,8,Sean Morrison,D,34,3043,1,3,1.01,0.65,5.05+4.05,3.46+0.46,0.15,0.1
8,9,Danny Ward,F,14,426,1,0,2.32,1.48,0.61-0.39,0.29+0.29,0.13,0.06
9,10,Kenneth Zohore,F,19,735,1,1,2.08,1.47,1.62+0.62,0.91-0.09,0.2,0.11
10,11,Kadeem Harris,M,13,346,1,0,1.3,1.56,0.89-0.11,0.51+0.51,0.23,0.13
11,12,Aron Gunnarsson,M,28,2296,1,1,0.78,0.63,2.36+1.36,1.74+0.74,0.09,0.07
12,13,Oumar Niasse,F,13,967,0,0,1.58,0.47,2.99+2.99,0.68+0.68,0.28,0.06
13,14,Leandro Bacuna,M,11,543,0,0,0.83,0.17,0.08+0.08,0.03+0.03,0.01,0.0
14,15,Harry Arter,M,25,2033,0,1,1.02,0.44,0.80+0.80,0.72-0.28,0.04,0.03
15,16,Joe Bennett,D M,30,2648,0,1,0.34,0.48,0.52+0.52,0.80-0.20,0.02,0.03
16,17,Jazz Richards,S,4,117,0,0,0.0,0.0,0.00,0.00,0.0,0.0
17,18,Bruno Ecuele Manga,D,38,3374,0,1,0.27,0.16,1.21+1.21,0.29-0.71,0.03,0.01
18,19,Neil Etheridge,GK,38,3420,0,0,0.0,0.05,0.00,0.09+0.09,0.0,0.0
19,20,Lee Peltier,D,20,1539,0,0,0.06,0.12,0.04+0.04,0.07+0.07,0.0,0.0
20,21,Joe Ralls,M,28,1961,0,0,1.06,1.51,1.37+1.37,3.60+3.60,0.06,0.17
21,22,Gary Madine,S,5,23,0,0,0.0,0.0,0.00,0.00,0.0,0.0
22,23,Greg Cunningham,D,7,630,0,0,0.29,0.71,0.07+0.07,0.22+0.22,0.01,0.03
23,24,Loïc Damour,S,2,17,0,0,5.29,0.0,0.03+0.03,0.00,0.17,0.0
24,25,Rhys Healey,S,3,30,0,0,3.0,3.0,0.04+0.04,0.03+0.03,0.13,0.1
