,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
0,1,Gylfi Sigurdsson,F M,38,3150,13,6,2.46,2.11,12.12-0.88,6.79+0.79,0.35,0.19
1,2,Richarlison,F M,35,2702,13,1,2.73,0.67,11.33-1.67,1.96+0.96,0.38,0.07
2,3,Dominic Calvert-Lewin,F M,35,1763,6,2,2.65,0.61,6.17+0.17,1.64-0.36,0.32,0.08
3,4,Theo Walcott,M,37,2127,5,2,1.78,0.89,6.51+1.51,2.88+0.88,0.28,0.12
4,5,Lucas Digne,D M,35,2968,4,4,1.03,2.15,1.20-2.80,7.71+3.71,0.04,0.23
5,6,Cenk Tosun,F,25,1036,3,3,3.21,1.13,4.99+1.99,0.96-2.04,0.43,0.08
6,7,Seamus Coleman,D M,29,2564,2,2,0.53,0.77,1.36-0.64,3.80+1.80,0.05,0.13
7,8,Kurt Zouma,D,32,2613,2,2,0.65,0.21,1.27-0.73,0.44-1.56,0.04,0.02
8,9,Phil Jagielka,D,7,323,1,0,0.28,0.56,0.63-0.37,0.10+0.10,0.17,0.03
9,10,Michael Keane,D,33,2970,1,2,0.94,0.24,2.00+1.00,1.24-0.76,0.06,0.04
10,11,André Gomes,M,27,2001,1,1,0.94,0.27,1.39+0.39,0.66-0.34,0.06,0.03
11,12,Yerry Mina,D,13,891,1,0,0.4,0.3,0.75-0.25,0.14+0.14,0.08,0.01
12,13,Bernard,M,34,2146,1,3,0.96,1.72,2.69+1.69,3.24+0.24,0.11,0.14
13,14,Morgan Schneiderlin,M,14,831,0,1,0.32,0.87,0.10+0.10,0.80-0.20,0.01,0.09
14,15,Leighton Baines,D,6,375,0,0,0.48,0.96,0.08+0.08,0.08+0.08,0.02,0.02
15,16,James McCarthy,S,1,11,0,0,0.0,0.0,0.00,0.00,0.0,0.0
16,17,Oumar Niasse,S,5,47,0,0,5.74,1.91,0.39+0.39,0.09+0.09,0.75,0.18
17,18,Idrissa Gueye,M,33,2828,0,2,0.6,0.57,0.59+0.59,0.93-1.07,0.02,0.03
18,19,Jordan Pickford,GK,38,3420,0,0,0.0,0.03,0.00,0.04+0.04,0.0,0.0
19,20,Mason Holgate,D,5,407,0,0,0.0,0.0,0.00,0.00,0.0,0.0
20,21,Tom Davies,M,16,973,0,0,0.65,0.46,0.31+0.31,0.59+0.59,0.03,0.05
21,22,Jonjoe Kenny,D,10,791,0,1,0.34,0.68,0.09+0.09,0.84-0.16,0.01,0.1
22,23,Ademola Lookman,M,21,575,0,2,1.88,1.57,1.57+1.57,1.61-0.39,0.25,0.25
