,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
0,1,Marko Arnautovic,F M,28,2006,10,4,2.78,1.62,8.94-1.06,4.00,0.4,0.18
1,2,Felipe Anderson,F M,36,3073,9,4,1.7,1.9,5.53-3.47,6.78+2.78,0.16,0.2
2,3,Chicharito,F,25,1336,7,1,2.49,0.34,7.89+0.89,1.26+0.26,0.53,0.08
3,4,Michail Antonio,D F M,33,2084,6,4,2.81,0.99,6.07+0.07,4.03+0.03,0.26,0.17
4,5,Mark Noble,M,31,2339,5,5,0.65,0.81,3.59-1.41,1.72-3.28,0.14,0.07
5,6,Lucas Pérez,F,15,462,3,0,1.75,1.56,1.39-1.61,0.88+0.88,0.27,0.17
6,7,Robert Snodgrass,M,33,2230,2,5,1.21,2.38,2.26+0.26,5.18+0.18,0.09,0.21
7,8,Declan Rice,M,34,3009,2,0,0.66,0.27,1.23-0.77,0.64+0.64,0.04,0.02
8,9,Andriy Yarmolenko,F M,9,454,2,0,1.78,0.99,1.25-0.75,0.70+0.70,0.25,0.14
9,10,Angelo Ogbonna,D,24,1870,1,1,0.67,0.19,1.02+0.02,1.16+0.16,0.05,0.06
10,11,Manuel Lanzini,M,10,693,1,1,1.43,0.65,1.18+0.18,0.96-0.04,0.15,0.12
11,12,Issa Diop,D,33,2970,1,0,0.36,0.12,1.26+0.26,0.18+0.18,0.04,0.01
12,13,Ryan Fredericks,D,15,1077,1,0,0.42,0.25,0.53-0.47,0.51+0.51,0.04,0.04
13,14,Fabián Balbuena,D,23,2013,1,0,0.85,0.13,2.52+1.52,0.15+0.15,0.11,0.01
14,15,Aaron Cresswell,D,20,1586,0,1,0.62,0.96,0.42+0.42,0.94-0.06,0.02,0.05
15,16,Andy Carroll,F,12,438,0,0,2.88,0.82,1.98+1.98,0.28+0.28,0.41,0.06
16,17,Pedro Obiang,M,24,1112,0,1,1.21,0.49,0.56+0.56,1.14+0.14,0.05,0.09
17,18,Pablo Zabaleta,D,26,2099,0,1,0.3,0.3,0.16+0.16,1.03+0.03,0.01,0.04
18,19,Carlos Sánchez,M,7,233,0,0,1.16,0.77,0.06+0.06,0.05+0.05,0.02,0.02
19,20,Lukasz Fabianski,GK,38,3420,0,0,0.0,0.05,0.00,0.08+0.08,0.0,0.0
20,21,Samir Nasri,M,5,244,0,2,1.11,2.21,0.13+0.13,0.55-1.45,0.05,0.2
21,22,Jack Wilshere,M,8,384,0,1,0.47,1.17,0.18+0.18,0.53-0.47,0.04,0.13
22,23,Arthur Masuaku,D,23,1759,0,1,0.2,0.72,0.07+0.07,1.02+0.02,0.0,0.05
23,24,Ben Johnson,D,1,64,0,0,0.0,0.0,0.00,0.00,0.0,0.0
24,25,Grady Diangana,M,17,602,0,1,1.5,1.79,0.64+0.64,1.22+0.22,0.1,0.18
25,26,Xande Silva,S,1,15,0,0,12.0,6.0,0.07+0.07,0.01+0.01,0.42,0.08
