,Unnamed: 0_x,Player Name,Team,Position,Assists,Bonus,Bonus Points System,Clean sheets,Cost,Creativity,Form,Goals conceded,Goals scored,ICT Index,Influence,Minutes played,Own goals,Penalties missed,Penalties saved,Points per match,Price fall,Price fall (round),Price rise,Price rise (round),Pts.,Red cards,Round points,Saves,Sel.,Threat,Times in Dream Team,Transfers in,Transfers in (round),Transfers out,Transfers out (round),Value (form),Value (season),Yellow cards, ,Team Name,Unnamed: 0_y,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90,Last Name
0,AndoneBHAFWD,Andone,BHA,FWD,0.0,2.0,74.0,2.0,5.0,48.6,0.0,14.0,3.0,54.9,147.2,866.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.4%,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,Brighton,3,4,Florin Andone,F,23,861,3,0,1.99,0.21,3.49+0.49,0.10+0.10,0.36,0.01,Andone
1,BalogunBHADEF,Balogun,BHA,DEF,0.0,0.0,86.0,0.0,4.5,1.1,0.0,10.0,1.0,16.2,134.0,591.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.1%,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,Brighton,7,8,Leon Balogun,D,8,589,1,0,0.15,0.0,0.08-0.92,0.00,0.01,0.0,Balogun
2,BernardoBHADEF,Bernardo,BHA,DEF,1.0,0.0,290.0,2.0,4.5,172.6,0.0,29.0,0.0,70.0,444.2,1749.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.2%,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,Brighton,14,15,Bernardo,D,22,1740,0,1,0.41,0.52,0.35+0.35,0.58-0.42,0.02,0.03,Bernardo
3,BissoumaBHAMID,Bissouma,BHA,MID,0.0,0.0,170.0,3.0,5.0,213.0,0.0,32.0,0.0,66.8,253.4,1764.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0%,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,Brighton,15,16,Yves Bissouma,M,28,1757,0,0,1.59,0.67,1.78+1.78,0.99+0.99,0.09,0.05,Bissouma
4,BongBHADEF,Bong,BHA,DEF,0.0,0.0,254.0,5.0,4.5,153.3,0.0,34.0,0.0,38.0,220.0,1805.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.2%,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brighton,17,18,Gaëtan Bong,D,22,1802,0,0,0.1,0.45,0.07+0.07,0.48+0.48,0.0,0.02,Bong
5,ButtonBHAGKP,Button,BHA,GKP,0.0,2.0,76.0,1.0,4.0,0.0,0.0,5.0,0.0,8.9,89.2,360.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,15.0,0.0,0.0,14.0,26.4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brighton,20,21,David Button,GK,4,360,0,0,0.0,0.0,0.00,0.00,0.0,0.0,Button
6,DuffyBHADEF,Duffy,BHA,DEF,2.0,9.0,582.0,7.0,5.0,84.1,0.0,55.0,5.0,160.9,1024.4,3087.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,115.0,1.0,0.0,0.0,3.3%,499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,Brighton,1,2,Shane Duffy,D,35,3087,5,1,1.08,0.2,3.38-1.62,0.27-0.73,0.1,0.01,Duffy
7,DunkBHADEF,Dunk,BHA,DEF,1.0,6.0,573.0,7.0,4.5,132.9,0.0,56.0,2.0,118.7,805.8,3151.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,91.0,1.0,0.0,0.0,7.9%,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,Brighton,5,6,Lewis Dunk,D,36,3154,2,1,0.57,0.31,1.76-0.24,0.75-0.25,0.05,0.02,Dunk
8,GroßBHAMID,Groß,BHA,MID,3.0,12.0,347.0,3.0,6.5,815.3,0.0,31.0,3.0,161.7,456.0,1864.0,0.0,1.0,0.0,3.2,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.7%,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Brighton,2,3,Pascal Groß,M,25,1896,3,3,1.14,2.56,4.14+1.14,5.61+2.61,0.2,0.27,Groß
9,IzquierdoBHAMID,Izquierdo,BHA,MID,2.0,0.0,95.0,3.0,5.5,77.3,0.0,10.0,0.0,30.0,75.4,789.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0%,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Brighton,18,19,José Izquierdo,F M,15,803,0,1,1.68,0.67,0.62+0.62,0.47-0.53,0.07,0.05,Izquierdo
