,Unnamed: 0_x,Player Name,Team,Position,Assists,Bonus,Bonus Points System,Clean sheets,Cost,Creativity,Form,Goals conceded,Goals scored,ICT Index,Influence,Minutes played,Own goals,Penalties missed,Penalties saved,Points per match,Price fall,Price fall (round),Price rise,Price rise (round),Pts.,Red cards,Round points,Saves,Sel.,Threat,Times in Dream Team,Transfers in,Transfers in (round),Transfers out,Transfers out (round),Value (form),Value (season),Yellow cards, ,Team Name,Unnamed: 0_y,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90,Last Name
0,AlonsoCHEDEF,Alonso,CHE,DEF,8.0,21.0,702.0,14.0,6.5,520.1,0.0,28.0,2.0,161.7,619.0,2759.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,4.9%,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,Chelsea,11,12,Marcos Alonso,D,31,2764,2,4,1.47,1.04,3.56+1.56,3.92-0.08,0.12,0.13,Alonso
1,AzpilicuetaCHEDEF,Azpilicueta,CHE,DEF,6.0,11.0,822.0,16.0,6.0,525.1,0.0,39.0,1.0,163.2,815.0,3402.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,9.3%,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,Chelsea,12,13,César Azpilicueta,D,38,3405,1,5,0.45,0.71,1.26+0.26,2.42-2.58,0.03,0.06,Azpilicueta
2,BarkleyCHEMID,Barkley,CHE,MID,5.0,5.0,300.0,7.0,6.0,349.0,0.0,13.0,3.0,110.0,324.0,1231.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,7.5%,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Chelsea,6,7,Ross Barkley,M,27,1228,3,5,2.93,1.61,3.65+0.65,2.52-2.48,0.27,0.18,Barkley
3,CaballeroCHEGKP,Caballero,CHE,GKP,0.0,0.0,45.0,2.0,5.0,1.0,0.0,0.0,0.0,2.6,24.6,180.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,13.0,0.0,0.0,3.0,0.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Chelsea,16,17,Willy Caballero,GK,2,180,0,0,0.0,0.0,0.00,0.00,0.0,0.0,Caballero
4,ChristensenCHEDEF,Christensen,CHE,DEF,0.0,0.0,133.0,3.0,5.0,8.4,0.0,7.0,0.0,13.6,120.6,615.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.7%,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Chelsea,14,15,Andreas Christensen,D,8,614,0,0,0.0,0.0,0.00,0.00,0.0,0.0,Christensen
5,EmersonCHEDEF,Emerson,CHE,DEF,0.0,1.0,130.0,2.0,5.5,113.8,0.0,11.0,0.0,30.0,104.6,660.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.8%,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Chelsea,20,21,Emerson,D,10,653,0,0,0.69,0.69,0.27+0.27,0.60+0.60,0.04,0.08,Emerson
6,GiroudCHEFWD,Giroud,CHE,FWD,4.0,2.0,169.0,6.0,7.0,253.6,0.0,5.0,2.0,94.5,183.2,828.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,2.5%,519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Chelsea,9,10,Olivier Giroud,F,27,808,2,4,3.56,2.0,5.06+3.06,2.29-1.71,0.56,0.26,Giroud
7,Hudson-OdoiCHEMID,Hudson-Odoi,CHE,MID,1.0,1.0,83.0,2.0,6.0,143.2,0.0,5.0,0.0,36.2,89.2,388.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.3%,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Chelsea,23,24,Callum Hudson-Odoi,F,10,390,0,1,1.38,2.08,0.99+0.99,1.57+0.57,0.23,0.36,Hudson-Odoi
8,JorginhoCHEMID,Jorginho,CHE,MID,0.0,4.0,577.0,16.0,5.0,628.4,0.0,37.0,2.0,144.2,691.4,3156.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,4.0%,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,Chelsea,10,11,Jorginho,M,37,3179,2,0,0.54,0.85,1.30-0.70,3.07+3.07,0.04,0.09,Jorginho
9,KantéCHEMID,Kanté,CHE,MID,4.0,3.0,563.0,14.0,5.0,766.3,0.0,38.0,4.0,186.4,683.6,3092.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,8.1%,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,Chelsea,5,6,N'Golo Kanté,M,36,3103,4,4,0.84,1.33,3.03-0.97,3.73-0.27,0.09,0.11,Kanté
