,Unnamed: 0_x,Player Name,Team,Position,Assists,Bonus,Bonus Points System,Clean sheets,Cost,Creativity,Form,Goals conceded,Goals scored,ICT Index,Influence,Minutes played,Own goals,Penalties missed,Penalties saved,Points per match,Price fall,Price fall (round),Price rise,Price rise (round),Pts.,Red cards,Round points,Saves,Sel.,Threat,Times in Dream Team,Transfers in,Transfers in (round),Transfers out,Transfers out (round),Value (form),Value (season),Yellow cards, ,Team Name,Unnamed: 0_y,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90,Last Name
0,BainesEVEDEF,Baines,EVE,DEF,0.0,0.0,48.0,0.0,5.0,91.4,0.0,6.0,0.0,15.4,48.4,374.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.2%,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Everton,14,15,Leighton Baines,D,6,375,0,0,0.48,0.96,0.08+0.08,0.08+0.08,0.02,0.02,Baines
1,BernardEVEMID,Bernard,EVE,MID,4.0,5.0,319.0,13.0,6.5,589.6,0.0,19.0,1.0,133.3,366.0,2108.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.6%,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,Everton,12,13,Bernard,M,34,2146,1,3,0.96,1.72,2.69+1.69,3.24+0.24,0.11,0.14,Bernard
2,Calvert-LewinEVEFWD,Calvert-Lewin,EVE,FWD,5.0,3.0,267.0,8.0,6.0,185.7,0.0,26.0,6.0,111.5,321.8,1769.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,2.3%,618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,Everton,2,3,Dominic Calvert-Lewin,F M,35,1763,6,2,2.65,0.61,6.17+0.17,1.64-0.36,0.32,0.08,Calvert-Lewin
3,ColemanEVEDEF,Coleman,EVE,DEF,2.0,12.0,548.0,13.0,5.5,387.3,0.0,30.0,2.0,117.6,515.2,2558.0,1.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,3.7%,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Everton,6,7,Seamus Coleman,D M,29,2564,2,2,0.53,0.77,1.36-0.64,3.80+1.80,0.05,0.13,Coleman
4,DaviesEVEMID,Davies,EVE,MID,0.0,0.0,127.0,2.0,5.5,96.2,0.0,19.0,0.0,32.1,122.6,975.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.2%,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,Everton,20,21,Tom Davies,M,16,973,0,0,0.65,0.46,0.31+0.31,0.59+0.59,0.03,0.05,Davies
5,DigneEVEDEF,Digne,EVE,DEF,5.0,22.0,736.0,13.0,6.0,1142.0,0.0,38.0,4.0,232.7,883.0,2964.0,1.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,158.0,1.0,0.0,0.0,26.3%,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,Everton,4,5,Lucas Digne,D M,35,2968,4,4,1.03,2.15,1.20-2.80,7.71+3.71,0.04,0.23,Digne
6,GueyeEVEMID,Gueye,EVE,MID,2.0,0.0,472.0,13.0,5.0,311.3,0.0,31.0,0.0,111.1,629.2,2821.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.1%,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,Everton,17,18,Idrissa Gueye,M,33,2828,0,2,0.6,0.57,0.59+0.59,0.93-1.07,0.02,0.03,Gueye
7,HolgateEVEDEF,Holgate,EVE,DEF,0.0,0.0,61.0,0.0,4.5,5.0,0.0,9.0,0.0,9.9,92.2,407.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.2%,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Everton,19,20,Mason Holgate,D,5,407,0,0,0.0,0.0,0.00,0.00,0.0,0.0,Holgate
8,KeaneEVEDEF,Keane,EVE,DEF,2.0,15.0,642.0,13.0,5.5,101.2,0.0,39.0,1.0,117.2,740.2,2970.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,2.9%,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,Everton,9,10,Michael Keane,D,33,2970,1,2,0.94,0.24,2.00+1.00,1.24-0.76,0.06,0.04,Keane
9,LookmanEVEMID,Lookman,EVE,MID,3.0,0.0,110.0,1.0,5.0,172.1,0.0,8.0,0.0,51.6,131.4,600.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0%,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Everton,22,23,Ademola Lookman,M,21,575,0,2,1.88,1.57,1.57+1.57,1.61-0.39,0.25,0.25,Lookman
10,McCarthyEVEMID,McCarthy,EVE,MID,0.0,0.0,3.0,0.0,4.5,0.1,0.0,0.0,0.0,0.5,5.2,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Everton,15,16,James McCarthy,S,1,11,0,0,0.0,0.0,0.00,0.00,0.0,0.0,McCarthy
11,MinaEVEDEF,Mina,EVE,DEF,0.0,2.0,176.0,3.0,5.5,37.5,0.0,13.0,1.0,29.6,198.2,891.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.7%,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,Everton,11,12,Yerry Mina,D,13,891,1,0,0.4,0.3,0.75-0.25,0.14+0.14,0.08,0.01,Mina
12,PickfordEVEGKP,Pickford,EVE,GKP,0.0,13.0,706.0,14.0,5.5,10.0,0.0,46.0,0.0,78.5,776.4,3420.0,0.0,0.0,3.0,4.2,0.0,0.0,0.0,0.0,161.0,0.0,0.0,94.0,10.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Everton,18,19,Jordan Pickford,GK,38,3420,0,0,0.0,0.03,0.00,0.04+0.04,0.0,0.0,Pickford
13,RicharlisonEVEMID,Richarlison,EVE,MID,3.0,12.0,400.0,11.0,8.0,350.7,0.0,36.0,13.0,224.5,698.4,2662.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,153.0,1.0,0.0,0.0,9.7%,1209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,Everton,1,2,Richarlison,F M,35,2702,13,1,2.73,0.67,11.33-1.67,1.96+0.96,0.38,0.07,Richarlison
14,SchneiderlinEVEMID,Schneiderlin,EVE,MID,1.0,0.0,152.0,5.0,4.5,124.7,0.0,9.0,0.0,29.4,151.6,832.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.3%,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,Everton,13,14,Morgan Schneiderlin,M,14,831,0,1,0.32,0.87,0.10+0.10,0.80-0.20,0.01,0.09,Schneiderlin
15,SigurdssonEVEMID,Sigurdsson,EVE,MID,6.0,20.0,662.0,15.0,8.0,1098.5,0.0,41.0,13.0,314.2,959.8,3122.0,0.0,3.0,0.0,4.8,0.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,15.0%,1084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,Everton,0,1,Gylfi Sigurdsson,F M,38,3150,13,6,2.46,2.11,12.12-0.88,6.79+0.79,0.35,0.19,Sigurdsson
16,TosunEVEFWD,Tosun,EVE,FWD,3.0,3.0,166.0,1.0,6.0,172.2,0.0,17.0,3.0,92.8,212.6,1044.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.2%,546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,Everton,5,6,Cenk Tosun,F,25,1036,3,3,3.21,1.13,4.99+1.99,0.96-2.04,0.43,0.08,Tosun
17,WalcottEVEMID,Walcott,EVE,MID,3.0,4.0,292.0,6.0,6.5,342.9,0.0,33.0,5.0,145.7,420.0,2108.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.9%,699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Everton,3,4,Theo Walcott,M,37,2127,5,2,1.78,0.89,6.51+1.51,2.88+0.88,0.28,0.12,Walcott
