,Unnamed: 0_x,Player Name,Team,Position,Assists,Bonus,Bonus Points System,Clean sheets,Cost,Creativity,Form,Goals conceded,Goals scored,ICT Index,Influence,Minutes played,Own goals,Penalties missed,Penalties saved,Points per match,Price fall,Price fall (round),Price rise,Price rise (round),Pts.,Red cards,Round points,Saves,Sel.,Threat,Times in Dream Team,Transfers in,Transfers in (round),Transfers out,Transfers out (round),Value (form),Value (season),Yellow cards, ,Team Name,Unnamed: 0_y,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90,Last Name
0,AlbrightonLEIMID,Albrighton,LEI,MID,2.0,4.0,279.0,5.0,5.5,446.8,0.0,17.0,2.0,106.1,371.2,1617.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.3%,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,Leicester,6,7,Marc Albrighton,F M,27,1625,2,2,1.05,1.61,1.06-0.94,2.99+0.99,0.06,0.17,Albrighton
1,AmarteyLEIMID,Amartey,LEI,MID,0.0,0.0,103.0,1.0,4.5,46.7,0.0,9.0,0.0,20.8,139.0,639.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.3%,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,Leicester,17,18,Daniel Amartey,D,9,637,0,0,0.57,0.42,0.47+0.47,0.11+0.11,0.07,0.02,Amartey
2,BarnesLEIMID,Barnes,LEI,MID,3.0,1.0,139.0,1.0,6.0,242.0,0.0,16.0,1.0,94.8,172.8,1001.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.3%,534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Leicester,12,13,Harvey Barnes,F M,16,1014,1,2,3.55,1.51,3.62+2.62,1.93-0.07,0.32,0.17,Barnes
3,ChilwellLEIDEF,Chilwell,LEI,DEF,5.0,8.0,578.0,10.0,5.5,674.6,0.0,43.0,0.0,170.0,721.0,3240.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,5.9%,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,Leicester,18,19,Ben Chilwell,D M,36,3240,0,4,0.61,1.25,0.97+0.97,3.07-0.93,0.03,0.09,Chilwell
4,ChoudhuryLEIMID,Choudhury,LEI,MID,0.0,0.0,80.0,4.0,4.5,73.7,0.0,4.0,0.0,24.6,119.6,593.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.6%,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Leicester,23,24,Hamza Choudhury,M,9,597,0,0,0.6,0.75,0.47+0.47,0.51+0.51,0.07,0.08,Choudhury
5,EvansLEIDEF,Evans,LEI,DEF,0.0,3.0,418.0,8.0,5.0,66.1,0.0,26.0,1.0,68.5,460.0,1993.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.7%,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,Leicester,10,11,Jonny Evans,D,24,1993,1,0,0.5,0.23,0.53-0.47,0.28+0.28,0.02,0.01,Evans
6,FuchsLEIDEF,Fuchs,LEI,DEF,0.0,0.0,38.0,0.0,4.5,85.6,0.0,5.0,0.0,14.9,50.4,206.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.4%,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Leicester,15,16,Christian Fuchs,D,3,204,0,0,0.88,2.65,0.06+0.06,0.20+0.20,0.03,0.09,Fuchs
7,GhezzalLEIMID,Ghezzal,LEI,MID,0.0,2.0,112.0,1.0,5.5,307.0,0.0,13.0,1.0,68.3,147.8,733.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.1%,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,Leicester,11,12,Rachid Ghezzal,F M,19,731,1,0,2.34,1.97,1.37+0.37,1.73+1.73,0.17,0.21,Ghezzal
8,GrayLEIMID,Gray,LEI,MID,1.0,3.0,244.0,6.0,5.5,310.2,0.0,29.0,4.0,122.5,320.2,1978.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.7%,599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,Leicester,2,3,Demarai Gray,F M,34,2009,4,1,2.11,0.76,4.56+0.56,0.98-0.02,0.2,0.04,Gray
9,IheanachoLEIFWD,Iheanacho,LEI,FWD,5.0,3.0,160.0,1.0,6.0,209.4,0.0,16.0,1.0,56.9,135.8,924.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.4%,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,Leicester,9,10,Kelechi Iheanacho,F M,30,911,1,3,1.78,1.28,2.58+1.58,1.34-1.66,0.25,0.13,Iheanacho
10,MaddisonLEIMID,Maddison,LEI,MID,7.0,12.0,619.0,8.0,7.0,1515.0,0.0,44.0,7.0,308.4,801.4,2831.0,0.0,1.0,0.0,3.8,0.0,0.0,0.0,0.0,137.0,1.0,0.0,0.0,11.2%,769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,Leicester,1,2,James Maddison,F M,36,2877,7,7,2.6,3.13,7.37+0.37,7.94+0.94,0.23,0.25,Maddison
11,MendyLEIMID,Mendy,LEI,MID,1.0,0.0,291.0,7.0,4.5,135.5,0.0,29.0,0.0,39.5,235.8,2085.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,1.2%,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,Leicester,19,20,Nampalys Mendy,M,31,2085,0,0,0.09,0.22,0.07+0.07,0.22+0.22,0.0,0.01,Mendy
12,MorganLEIDEF,Morgan,LEI,DEF,0.0,7.0,365.0,6.0,4.5,40.1,0.0,28.0,3.0,80.5,471.0,1924.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,76.0,2.0,0.0,0.0,1.5%,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Leicester,3,4,Wes Morgan,D,22,1932,3,0,0.65,0.14,1.54-1.46,0.14+0.14,0.07,0.01,Morgan
13,NdidiLEIMID,Ndidi,LEI,MID,0.0,4.0,571.0,9.0,5.0,342.4,0.0,47.0,2.0,141.6,726.0,3295.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,1.3%,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,Leicester,8,9,Wilfred Ndidi,M,38,3305,2,0,1.5,0.6,3.12+1.12,1.69+1.69,0.08,0.05,Ndidi
14,PereiraLEIDEF,Pereira,LEI,DEF,8.0,22.0,693.0,10.0,6.0,517.6,0.0,45.0,2.0,183.7,889.0,3123.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,6.6%,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,Leicester,7,8,Ricardo Pereira,D F M,35,3129,2,6,0.72,0.95,1.18-0.82,5.13-0.87,0.03,0.15,Pereira
15,SchmeichelLEIGKP,Schmeichel,LEI,GKP,0.0,6.0,618.0,10.0,5.0,10.0,0.0,48.0,0.0,76.9,756.8,3420.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,120.0,0.0,0.0,90.0,6.1%,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,Leicester,13,14,Kasper Schmeichel,GK,38,3420,0,0,0.03,0.03,0.08+0.08,0.29+0.29,0.0,0.01,Schmeichel
16,SöyüncüLEIDEF,Söyüncü,LEI,DEF,0.0,0.0,48.0,0.0,4.5,6.8,0.0,4.0,0.0,10.6,76.6,371.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.2%,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Leicester,21,22,Caglar Söyüncü,D,6,373,0,0,0.48,0.0,0.06+0.06,0.00,0.01,0.0,Söyüncü
17,TielemansLEIMID,Tielemans,LEI,MID,5.0,6.0,267.0,3.0,6.5,269.7,0.0,14.0,3.0,81.8,299.0,1087.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,6.4%,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,Leicester,5,6,Youri Tielemans,M,13,1098,3,4,2.54,1.31,2.06-0.94,2.50-1.50,0.17,0.21,Tielemans
18,VardyLEIFWD,Vardy,LEI,FWD,5.0,31.0,598.0,11.0,9.0,419.9,0.0,36.0,18.0,244.6,822.0,2726.0,0.0,1.0,0.0,5.1,0.0,0.0,0.0,0.0,174.0,1.0,0.0,0.0,10.7%,1206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,Leicester,0,1,Jamie Vardy,F,34,2740,18,4,2.59,1.05,19.12+1.12,5.14+1.14,0.63,0.17,Vardy
