,Unnamed: 0_x,Player Name,Team,Position,Assists,Bonus,Bonus Points System,Clean sheets,Cost,Creativity,Form,Goals conceded,Goals scored,ICT Index,Influence,Minutes played,Own goals,Penalties missed,Penalties saved,Points per match,Price fall,Price fall (round),Price rise,Price rise (round),Pts.,Red cards,Round points,Saves,Sel.,Threat,Times in Dream Team,Transfers in,Transfers in (round),Transfers out,Transfers out (round),Value (form),Value (season),Yellow cards, ,Team Name,Unnamed: 0_y,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90,Last Name
0,ArmstrongSOUMID,Armstrong,SOU,MID,4.0,3.0,269.0,5.0,5.5,392.4,0.0,26.0,3.0,107.5,305.6,1421.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.2%,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,Southampton,5,6,Stuart Armstrong,M,29,1424,3,2,2.02,1.83,2.12-0.88,1.65-0.35,0.13,0.1,Armstrong
1,AustinSOUFWD,Austin,SOU,FWD,2.0,1.0,117.0,5.0,6.0,115.3,0.0,17.0,2.0,67.4,158.4,970.0,0.0,1.0,0.0,1.8,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.4%,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Southampton,6,7,Charlie Austin,F,25,983,2,2,2.93,0.82,3.80+1.80,1.01-0.99,0.35,0.09,Austin
2,BednarekSOUDEF,Bednarek,SOU,DEF,1.0,3.0,365.0,3.0,4.5,108.8,0.0,37.0,0.0,81.9,616.0,2150.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.9%,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,Southampton,25,26,Jan Bednarek,D,25,2150,0,1,0.21,0.38,0.84+0.84,0.62-0.38,0.04,0.03,Bednarek
3,BertrandSOUDEF,Bertrand,SOU,DEF,0.0,1.0,291.0,6.0,5.0,379.4,0.0,42.0,1.0,82.6,326.8,2160.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,1.2%,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,Southampton,8,9,Ryan Bertrand,D M,24,2160,1,0,0.67,0.96,1.26+0.26,1.72+1.72,0.05,0.07,Bertrand
4,ElyounoussiSOUMID,Elyounoussi,SOU,MID,0.0,0.0,91.0,4.0,5.5,228.3,0.0,10.0,0.0,54.2,94.2,785.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.1%,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Southampton,26,27,Mohamed Elyounoussi,M,16,786,0,0,2.29,1.72,2.21+2.21,1.14+1.14,0.25,0.13,Elyounoussi
5,ForsterSOUGKP,Forster,SOU,GKP,0.0,0.0,13.0,0.0,4.5,0.0,0.0,3.0,0.0,2.2,22.2,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Southampton,18,19,Fraser Forster,GK,1,90,0,0,0.0,0.0,0.00,0.00,0.0,0.0,Forster
6,GallagherSOUFWD,Gallagher,SOU,FWD,0.0,0.0,6.0,0.0,4.5,0.3,0.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Southampton,22,23,Sam Gallagher,S,4,30,0,0,0.0,0.0,0.00,0.00,0.0,0.0,Gallagher
7,GunnSOUGKP,Gunn,SOU,GKP,0.0,4.0,206.0,3.0,4.5,0.0,0.0,18.0,0.0,23.8,239.2,1080.0,0.0,0.0,1.0,3.9,0.0,0.0,0.0,0.0,47.0,0.0,0.0,33.0,1.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Southampton,23,24,Angus Gunn,GK,12,1080,0,0,0.0,0.0,0.00,0.00,0.0,0.0,Gunn
8,HoedtSOUDEF,Hoedt,SOU,DEF,0.0,3.0,206.0,4.0,4.5,20.0,0.0,24.0,0.0,34.7,283.6,1170.0,2.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.1%,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,Southampton,21,22,Wesley Hoedt,D,13,1170,0,0,0.46,0.08,0.59+0.59,0.02+0.02,0.05,0.0,Hoedt
9,HøjbjergSOUMID,Højbjerg,SOU,MID,3.0,8.0,477.0,4.0,5.0,445.6,0.0,59.0,4.0,148.8,616.0,2760.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,90.0,2.0,0.0,0.0,1.0%,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,Southampton,4,5,Pierre-Emile Højbjerg,M,31,2770,4,3,1.72,0.91,2.26-1.74,2.35-0.65,0.07,0.08,Højbjerg
