,Unnamed: 0_x,Player Name,Team,Position,Assists,Bonus,Bonus Points System,Clean sheets,Cost,Creativity,Form,Goals conceded,Goals scored,ICT Index,Influence,Minutes played,Own goals,Penalties missed,Penalties saved,Points per match,Price fall,Price fall (round),Price rise,Price rise (round),Pts.,Red cards,Round points,Saves,Sel.,Threat,Times in Dream Team,Transfers in,Transfers in (round),Transfers out,Transfers out (round),Value (form),Value (season),Yellow cards, ,Team Name,Unnamed: 0_y,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90,Last Name
0,CapoueWATMID,Capoue,WAT,MID,3.0,8.0,496.0,8.0,5.0,219.2,0.0,48.0,1.0,102.8,656.6,2944.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,79.0,1.0,0.0,0.0,1.1%,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,,Watford,8,9,Etienne Capoue,M,33,2951,1,3,0.55,0.3,1.30+0.30,1.37-1.63,0.04,0.04,Capoue
1,CathcartWATDEF,Cathcart,WAT,DEF,0.0,5.0,552.0,6.0,4.5,25.5,0.0,54.0,3.0,100.8,719.6,3095.0,2.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,4.9%,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,Watford,6,7,Craig Cathcart,D,36,3104,3,0,0.38,0.03,1.85-1.15,0.11+0.11,0.05,0.0,Cathcart
2,ChalobahWATMID,Chalobah,WAT,MID,0.0,0.0,42.0,0.0,4.5,20.2,0.0,7.0,0.0,8.8,35.6,265.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.5%,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,Watford,20,21,Nathaniel Chalobah,M,9,264,0,0,0.68,0.34,0.08+0.08,0.22+0.22,0.03,0.08,Chalobah
3,CleverleyWATMID,Cleverley,WAT,MID,0.0,2.0,87.0,3.0,5.0,33.4,0.0,7.0,1.0,17.2,97.4,470.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.1%,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,Watford,9,10,Tom Cleverley,M,13,453,1,0,0.79,0.2,0.17-0.83,0.11+0.11,0.03,0.02,Cleverley
4,DeeneyWATFWD,Deeney,WAT,FWD,5.0,13.0,411.0,5.0,6.5,549.5,0.0,44.0,9.0,216.9,607.4,2542.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,116.0,1.0,0.0,0.0,3.5%,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,Watford,1,2,Troy Deeney,F,32,2552,9,5,2.26,1.48,10.23+1.23,4.69-0.31,0.36,0.17,Deeney
5,DeulofeuWATFWD,Deulofeu,WAT,FWD,5.0,10.0,344.0,9.0,6.5,455.6,0.0,29.0,10.0,185.6,549.2,2064.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,5.2%,856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,Watford,0,1,Gerard Deulofeu,F,30,2110,10,5,2.56,1.28,8.33-1.67,4.96-0.04,0.36,0.21,Deulofeu
6,DoucouréWATMID,Doucouré,WAT,MID,7.0,14.0,550.0,5.0,6.0,544.1,0.0,56.0,5.0,198.9,735.6,3061.0,1.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,3.6%,709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,Watford,4,5,Abdoulaye Doucouré,M,35,3062,5,6,1.5,1.12,6.85+1.85,5.39-0.61,0.2,0.16,Doucouré
7,FosterWATGKP,Foster,WAT,GKP,0.0,11.0,703.0,7.0,5.0,50.0,0.0,59.0,0.0,104.1,988.0,3420.0,0.0,0.0,1.0,3.4,0.0,0.0,0.0,0.0,129.0,0.0,0.0,128.0,3.3%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Watford,18,19,Ben Foster,GK,38,3420,0,0,0.03,0.13,0.02+0.02,0.21+0.21,0.0,0.01,Foster
8,GrayWATFWD,Gray,WAT,FWD,2.0,10.0,254.0,4.0,6.0,183.9,0.0,23.0,7.0,112.8,331.8,1352.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.9%,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,Watford,2,3,Andre Gray,F,29,1343,7,2,2.35,0.94,5.85-1.15,2.10+0.10,0.39,0.14,Gray
9,HolebasWATDEF,Holebas,WAT,DEF,7.0,10.0,437.0,5.0,5.0,598.2,0.0,41.0,3.0,140.6,642.4,2392.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,93.0,1.0,0.0,0.0,4.8%,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,Watford,5,6,José Holebas,D,28,2395,3,6,0.64,1.43,0.94-2.06,4.58-1.42,0.04,0.17,Holebas
10,HughesWATMID,Hughes,WAT,MID,4.0,5.0,320.0,7.0,5.5,416.0,0.0,39.0,2.0,129.6,429.2,2419.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.3%,451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,Watford,7,8,Will Hughes,M,32,2454,2,4,1.14,1.06,2.97+0.97,3.66-0.34,0.11,0.13,Hughes
11,JanmaatWATDEF,Janmaat,WAT,DEF,2.0,6.0,274.0,3.0,4.5,212.2,0.0,22.0,0.0,67.8,346.2,1520.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.7%,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,Watford,17,18,Daryl Janmaat,D,18,1524,0,2,0.65,0.71,0.47+0.47,0.58-1.42,0.03,0.03,Janmaat
